HGNC_ID	Gene	Ensemble_ID	Entrez_ID	OMIM_ID	Inheritance	Phenotype(s)
NA	AARS1	ENSG00000090861	16	601065	AR	DEE
NA	AARS2	ENSG00000124608	57505	612035	AR	DEE
NA	ABAT	ENSG00000183044	18	137150	AR	DEE
NA	ABCA2	ENSG00000107331	20	600047	AD/AR	DEE
NA	ABCC9	ENSG00000069431	10060	601439	AR	DEE
NA	ABHD16A	ENSG00000204427	7920	142620	AR	DEE
NA	ACBD6	ENSG00000230124	84320	616352	AR	DEE
NA	ACOX1	ENSG00000161533	51	609751	AR	DEE
NA	ACTB	ENSG00000075624	60	102630	AD	MCD
NA	ACTG1	ENSG00000184009	71	102560	AD	MCD
NA	ACTL6B	ENSG00000077080	51412	612458	AR	DEE
NA	ACY1	ENSG00000243989	95	104620	AR	DEE
NA	ADAM22	ENSG00000008277	53616	603709	AR	DEE
NA	ADAR	ENSG00000160710	103	146920	AR	DEE, MCD
NA	ADARB1	ENSG00000197381	104	601218	AR	DEE
NA	ADAT3	ENSG00000213638	113179	615302	AR	DEE
NA	ADCY5	ENSG00000173175	111	600293	AD	DEE
NA	ADGRG1	ENSG00000205336	9289	604110	AR	MCD
NA	ADGRL1	ENSG00000072071	22859	616416	AD	DEE
NA	ADNP	ENSG00000101126	23394	611386	AD	DEE
NA	ADPRS	ENSG00000116863	54936	610624	AR	DEE
NA	ADSL	ENSG00000239900	158	608222	AR	DEE
NA	AFDN	ENSG00000130396	4301	159559	AD	MCD
NA	AFF3	ENSG00000144218	3899	601464	AD	DEE
NA	AFG2A	ENSG00000145375	166378	613940	AR	DEE
NA	AFG2B	ENSG00000171763	79029	619578	AR	DEE
NA	AFG3L2	ENSG00000141385	10939	604581	AR	PME
NA	AGA	ENSG00000038002	175	613228	AR	DEE
NA	AGMO	ENSG00000187546	392636	613738	AR	DEE
NA	AGO1	ENSG00000092847	26523	606228	AD	DEE
NA	AHDC1	ENSG00000126705	27245	615790	AD	DEE
NA	AIMP1	ENSG00000164022	9255	603605	AR	DEE
NA	AKT1	ENSG00000142208	207	164730	AD	DEE, MCD
NA	AKT3	ENSG00000117020	10000	611223	AD	MCD
NA	ALDH3A2	ENSG00000072210	224	609523	AR	DEE
NA	ALDH5A1	ENSG00000112294	7915	610045	AR	DEE
NA	ALDH7A1	ENSG00000164904	501	107323	AR	DEE
NA	ALG1	ENSG00000033011	56052	605907	AR	DEE
NA	ALG11	ENSG00000253710	440138	613666	AR	DEE
NA	ALG12	ENSG00000182858	79087	607144	AR	DEE
NA	ALG13	ENSG00000101901	79868	300776	XL	DEE
NA	ALG14	ENSG00000172339	199857	612866	AR	DEE
NA	ALG2	ENSG00000119523	85365	607905	AR	DEE
NA	ALG3	ENSG00000214160	10195	608750	AR	DEE
NA	ALG6	ENSG00000088035	29929	604566	AR	DEE
NA	ALG8	ENSG00000159063	79053	608103	AR	DEE
NA	ALG9	ENSG00000086848	79796	606941	AR	DEE
NA	ALKBH8	ENSG00000137760	91801	613306	AR	DEE
NA	ALPL	ENSG00000162551	249	171760	AR	DEE
NA	AMACR	ENSG00000242110	23600	604489	AR	DEE
NA	AMPD2	ENSG00000116337	271	102771	AR	DEE
NA	AMT	ENSG00000145020	275	238310	AR	DEE
NA	ANK3	ENSG00000151150	288	600465	AD/AR	DEE
NA	ANKRD11	ENSG00000167522	29123	611192	AD	DEE
NA	ANKRD17	ENSG00000132466	26057	615929	AD	DEE
HGNC:23837	ANO4	ENSG00000151572	121601	610111	AD	GGE, Focal, DEE
NA	AP1G1	ENSG00000166747	164	603533	AD/AR	DEE
NA	AP2M1	ENSG00000161203	1173	601024	AD	DEE
