Gene	Ensemble_ID	Entrez_ID	OMIM_ID	Inheritance	Phenotype(s)
AARS1	ENSG00000090861	16	601065	AR	DEE
AARS2	ENSG00000124608	57505	612035	AR	DEE
ABAT	ENSG00000183044	18	137150	AR	DEE
ABHD16A	ENSG00000204427	7920	142620	AR	DEE
ACOX1	ENSG00000161533	51	609751	AR	DEE
ACTB	ENSG00000075624	60	102630	AD	MCD
ACTG1	ENSG00000184009	71	102560	AD	MCD
ACTL6B	ENSG00000077080	51412	612458	AR	DEE
ACY1	ENSG00000243989	95	104620	AR	DEE
ADAM22	ENSG00000008277	53616	603709	AR	DEE
ADAR	ENSG00000160710	103	146920	AR	DEE, MCD
ADARB1	ENSG00000197381	104	601218	AR	DEE
ADAT3	ENSG00000213638	113179	615302	AR	DEE
ADCY5	ENSG00000173175	111	600293	AD	DEE
ADGRG1	ENSG00000205336	9289	604110	AR	MCD
ADGRL1	ENSG00000072071	22859	616416	AD	DEE
ADNP	ENSG00000101126	23394	611386	AD	DEE
ADPRS	ENSG00000116863	54936	610624	AR	DEE
ADSL	ENSG00000239900	158	608222	AR	DEE
AFDN	ENSG00000130396	4301	159559	AD	MCD
AFF3	ENSG00000144218	3899	601464	AD	DEE
AFG3L2	ENSG00000141385	10939	604581	AR	PME
AGA	ENSG00000038002	175	613228	AR	DEE
AGMO	ENSG00000187546	392636	613738	AR	DEE
AGO1	ENSG00000092847	26523	606228	AD	DEE
AIMP1	ENSG00000164022	9255	603605	AR	DEE
AKT1	ENSG00000142208	207	164730	AD	DEE, MCD
AKT3	ENSG00000117020	10000	611223	AD	MCD
ALDH3A2	ENSG00000072210	224	609523	AR	DEE
ALDH5A1	ENSG00000112294	7915	610045	AR	DEE
ALDH7A1	ENSG00000164904	501	107323	AR	DEE
ALG1	ENSG00000033011	56052	605907	AR	DEE
ALG11	ENSG00000253710	440138	613666	AR	DEE
ALG12	ENSG00000182858	79087	607144	AR	DEE
ALG13	ENSG00000101901	79868	300776	XL	DEE
ALG14	ENSG00000172339	199857	612866	AR	DEE
ALG2	ENSG00000119523	85365	607905	AR	DEE
ALG3	ENSG00000214160	10195	608750	AR	DEE
ALG6	ENSG00000088035	29929	604566	AR	DEE
ALG8	ENSG00000159063	79053	608103	AR	DEE
ALG9	ENSG00000086848	79796	606941	AR	DEE
ALKBH8	ENSG00000137760	91801	613306	AR	DEE
ALPL	ENSG00000162551	249	171760	AR	DEE
AMACR	ENSG00000242110	23600	604489	AR	DEE
AMPD2	ENSG00000116337	271	102771	AR	DEE
AMT	ENSG00000145020	275	238310	AR	DEE
ANKRD11	ENSG00000167522	29123	611192	AD	DEE
ANKRD17	ENSG00000132466	26057	615929	AD	DEE
AP1G1	ENSG00000166747	164	603533	AD/AR	DEE
AP2M1	ENSG00000161203	1173	601024	AD	DEE
AP3B2	ENSG00000103723	8120	602166	AR	DEE
AP3D1	ENSG00000065000	8943	607246	AR	DEE
AP4B1	ENSG00000134262	10717	607245	AR	MCD
AP4M1	ENSG00000221838	9179	602296	AR	DEE
APC2	ENSG00000115266	10297	612034	AR	DEE, MCD
ARF1	ENSG00000143761	375	103180	AD	MCD
ARFGEF1	ENSG00000066777	10565	604141	AD	DEE
ARFGEF2	ENSG00000124198	10564	605371	AR	MCD
ARG1	ENSG00000118520	383	608313	AR	DEE
ARHGEF9	ENSG00000131089	23229	300429	XL	Focal, DEE
ARID1A	ENSG00000117713	8289	603024	AD	DEE
ARID1B	ENSG00000049618	57492	614556	AD	DEE, MCD
ARSA	ENSG00000100299	410	607574	AR	DEE
ARV1	ENSG00000173409	64801	611647	AR	DEE
ARX	ENSG00000004848	170302	300382	XL	DEE, MCD
ASAH1	ENSG00000104763	427	613468	AR	PME
ASH1L	ENSG00000116539	55870	607999	AD	DEE
ASNS	ENSG00000070669	440	108370	AR	DEE, MCD
ASPA	ENSG00000108381	443	608034	AR	DEE
ASPM	ENSG00000066279	259266	605481	AR	MCD
ASTN1	ENSG00000152092	460	600904	AR	DEE, MCD
ASXL2	ENSG00000143970	55252	612991	AD	DEE
ASXL3	ENSG00000141431	80816	615115	AD	DEE
ATAD1	ENSG00000138138	84896	614452	AR	DEE
ATN1	ENSG00000111676	1822	607462	AD	DEE, PME
ATP13A2	ENSG00000159363	23400	610513	AR	PME
ATP1A1	ENSG00000163399	476	182310	AD	DEE
