HGNC_ID	Gene	Ensemble_ID	Entrez_ID	OMIM_ID	Inheritance	Phenotype(s)
HGNC:20	AARS1	ENSG00000090861	16	601065	AR	DEE
HGNC:21022	AARS2	ENSG00000124608	57505	612035	AR	DEE
HGNC:23	ABAT	ENSG00000183044	18	137150	AR	DEE
HGNC:13921	ABHD16A	ENSG00000204427	7920	142620	AR	DEE
HGNC:119	ACOX1	ENSG00000161533	51	609751	AR	DEE
HGNC:132	ACTB	ENSG00000075624	60	102630	AD	MCD
HGNC:144	ACTG1	ENSG00000184009	71	102560	AD	MCD
HGNC:160	ACTL6B	ENSG00000077080	51412	612458	AR	DEE
HGNC:177	ACY1	ENSG00000243989	95	104620	AR	DEE
HGNC:201	ADAM22	ENSG00000008277	53616	603709	AR	DEE
HGNC:225	ADAR	ENSG00000160710	103	146920	AR	DEE, MCD
HGNC:226	ADARB1	ENSG00000197381	104	601218	AR	DEE
HGNC:25151	ADAT3	ENSG00000213638	113179	615302	AR	DEE
HGNC:236	ADCY5	ENSG00000173175	111	600293	AD	DEE
HGNC:4512	ADGRG1	ENSG00000205336	9289	604110	AR	MCD
HGNC:20973	ADGRL1	ENSG00000072071	22859	616416	AD	DEE
HGNC:15766	ADNP	ENSG00000101126	23394	611386	AD	DEE
HGNC:21304	ADPRS	ENSG00000116863	54936	610624	AR	DEE
HGNC:291	ADSL	ENSG00000239900	158	608222	AR	DEE
HGNC:7137	AFDN	ENSG00000130396	4301	159559	AD	MCD
HGNC:6473	AFF3	ENSG00000144218	3899	601464	AD	DEE
HGNC:18119	AFG2A	ENSG00000145375	166378	613940	AR	DEE
HGNC:28762	AFG2B	ENSG00000171763	79029	619578	AR	DEE
HGNC:315	AFG3L2	ENSG00000141385	10939	604581	AR	PME
HGNC:318	AGA	ENSG00000038002	175	613228	AR	DEE
HGNC:33784	AGMO	ENSG00000187546	392636	613738	AR	DEE
HGNC:3262	AGO1	ENSG00000092847	26523	606228	AD	DEE
HGNC:25230	AHDC1	ENSG00000126705	27245	615790	AD	DEE
HGNC:10648	AIMP1	ENSG00000164022	9255	603605	AR	DEE
HGNC:391	AKT1	ENSG00000142208	207	164730	AD	DEE, MCD
HGNC:393	AKT3	ENSG00000117020	10000	611223	AD	MCD
HGNC:403	ALDH3A2	ENSG00000072210	224	609523	AR	DEE
HGNC:408	ALDH5A1	ENSG00000112294	7915	610045	AR	DEE
HGNC:877	ALDH7A1	ENSG00000164904	501	107323	AR	DEE
HGNC:18294	ALG1	ENSG00000033011	56052	605907	AR	DEE
HGNC:32456	ALG11	ENSG00000253710	440138	613666	AR	DEE
HGNC:19358	ALG12	ENSG00000182858	79087	607144	AR	DEE
HGNC:30881	ALG13	ENSG00000101901	79868	300776	XL	DEE
HGNC:28287	ALG14	ENSG00000172339	199857	612866	AR	DEE
HGNC:23159	ALG2	ENSG00000119523	85365	607905	AR	DEE
HGNC:23056	ALG3	ENSG00000214160	10195	608750	AR	DEE
HGNC:23157	ALG6	ENSG00000088035	29929	604566	AR	DEE
HGNC:23161	ALG8	ENSG00000159063	79053	608103	AR	DEE
HGNC:15672	ALG9	ENSG00000086848	79796	606941	AR	DEE
HGNC:25189	ALKBH8	ENSG00000137760	91801	613306	AR	DEE
HGNC:438	ALPL	ENSG00000162551	249	171760	AR	DEE
HGNC:451	AMACR	ENSG00000242110	23600	604489	AR	DEE
HGNC:469	AMPD2	ENSG00000116337	271	102771	AR	DEE
HGNC:473	AMT	ENSG00000145020	275	238310	AR	DEE
HGNC:21316	ANKRD11	ENSG00000167522	29123	611192	AD	DEE
HGNC:23575	ANKRD17	ENSG00000132466	26057	615929	AD	DEE
HGNC:555	AP1G1	ENSG00000166747	164	603533	AD/AR	DEE
HGNC:564	AP2M1	ENSG00000161203	1173	601024	AD	DEE
HGNC:567	AP3B2	ENSG00000103723	8120	602166	AR	DEE
HGNC:568	AP3D1	ENSG00000065000	8943	607246	AR	DEE
HGNC:572	AP4B1	ENSG00000134262	10717	607245	AR	MCD
HGNC:574	AP4M1	ENSG00000221838	9179	602296	AR	DEE
HGNC:24036	APC2	ENSG00000115266	10297	612034	AR	DEE, MCD
HGNC:652	ARF1	ENSG00000143761	375	103180	AD	MCD
HGNC:15772	ARFGEF1	ENSG00000066777	10565	604141	AD	DEE
HGNC:15853	ARFGEF2	ENSG00000124198	10564	605371	AR	MCD
HGNC:663	ARG1	ENSG00000118520	383	608313	AR	DEE
HGNC:14561	ARHGEF9	ENSG00000131089	23229	300429	XL	Focal, DEE
HGNC:11110	ARID1A	ENSG00000117713	8289	603024	AD	DEE
HGNC:18040	ARID1B	ENSG00000049618	57492	614556	AD	DEE, MCD
HGNC:713	ARSA	ENSG00000100299	410	607574	AR	DEE
HGNC:29561	ARV1	ENSG00000173409	64801	611647	AR	DEE
HGNC:18060	ARX	ENSG00000004848	170302	300382	XL	DEE, MCD
HGNC:735	ASAH1	ENSG00000104763	427	613468	AR	PME
HGNC:19088	ASH1L	ENSG00000116539	55870	607999	AD	DEE
HGNC:753	ASNS	ENSG00000070669	440	108370	AR	DEE, MCD
HGNC:756	ASPA	ENSG00000108381	443	608034	AR	DEE
