HGNC_ID	Gene	Ensemble_ID	Entrez_ID	Inheritance	Phenotype(s)	OMIM_ID	Panel(s)
HGNC:20	AARS1	ENSG00000090861	16	AR	DEE	601065	"AusPanelApp, ClinGen, Invitae, BluePrint"
HGNC:160	ACTL6B	ENSG00000077080	51412	AR	DEE	612458	"AusPanelApp, BluePrint"
HGNC:201	ADAM22	ENSG00000008277	53616	AR	DEE	603709	"AusPanelApp, BluePrint"
HGNC:226	ADARB1	ENSG00000197381	104	AR	DEE	601218	AusPanelApp
HGNC:4512	ADGRG1	ENSG00000205336	9289	AR	MCD	604110	"AusPanelApp, Fulgent"
HGNC:315	AFG3L2	ENSG00000141385	10939	AR	PME	604581	BluePrint
HGNC:10648	AIMP1	ENSG00000164022	9255	AR	DEE	603605	"AusPanelApp, BluePrint"
HGNC:391	AKT1	ENSG00000142208	207	AD	"DEE, MCD"	164730	AusPanelApp
HGNC:393	AKT3	ENSG00000117020	10000	AD	MCD	611223	"AusPanelApp, Fulgent"
HGNC:30881	ALG13	ENSG00000101901	79868	XL	DEE	300776	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:21316	ANKRD11	ENSG00000167522	29123	AD	DEE	611192	"AusPanelApp, GeneDx, BluePrint"
HGNC:564	AP2M1	ENSG00000161203	1173	AD	DEE	601024	"AusPanelApp, Invitae, BluePrint"
HGNC:15853	ARFGEF2	ENSG00000124198	10564	AR	MCD	605371	"AusPanelApp, Fulgent"
HGNC:14561	ARHGEF9	ENSG00000131089	23229	XL	"Focal, DEE"	300429	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:18040	ARID1B	ENSG00000049618	57492	AD	"DEE, MCD"	614556	"AusPanelApp, BluePrint"
HGNC:29561	ARV1	ENSG00000173409	64801	AR	DEE	611647	"AusPanelApp, BluePrint"
HGNC:18060	ARX	ENSG00000004848	170302	XL	"DEE, MCD"	300382	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:735	ASAH1	ENSG00000104763	427	AR	PME	613468	"AusPanelApp, Fulgent, Invitae, BluePrint"
HGNC:3033	ATN1	ENSG00000111676	1822	AD	"DEE, PME"	607462	AusPanelApp
HGNC:30213	ATP13A2	ENSG00000159363	23400	AR	PME	610513	"Fulgent, BluePrint"
HGNC:800	ATP1A2	ENSG00000018625	477	AD	"DEE, MCD"	182340	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:801	ATP1A3	ENSG00000105409	478	AD	"DEE, MCD"	182350	"AusPanelApp, GeneDx, Invitae, BluePrint"
HGNC:18305	ATP6AP2	ENSG00000182220	10159	XL	DEE	300556	"AusPanelApp, Fulgent, GeneDx, Invitae"
HGNC:865	ATP6V0A1	ENSG00000033627	535	AD/AR	"DEE, PME"	192130	AusPanelApp
HGNC:851	ATP6V1A	ENSG00000114573	523	AD	DEE	607027	"AusPanelApp, BluePrint"
HGNC:854	ATP6V1B2	ENSG00000147416	526	AD	DEE	606939	AusPanelApp
HGNC:13221	BCL11A	ENSG00000119866	53335	AD	DEE	606557	NA
HGNC:21701	BRAT1	ENSG00000106009	221927	AR	DEE	614506	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:1388	CACNA1A	ENSG00000141837	773	AD	"GGE, DEE, PME"	601011	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:1392	CACNA1E	ENSG00000198216	777	AD	DEE	601013	"AusPanelApp, GeneDx, Invitae, BluePrint"
HGNC:1394	CACNA1G	ENSG00000006283	8913	AD	DEE	604065	"AusPanelApp, GeneDx, BluePrint"
HGNC:1399	CACNA2D1	ENSG00000153956	781	AR	DEE	114204	AusPanelApp
HGNC:1400	CACNA2D2	ENSG00000007402	9254	AR	"DEE, PME"	607082	"AusPanelApp, Fulgent, Invitae, BluePrint"
HGNC:21708	CCM2	ENSG00000136280	83605	AD	MCD	607929	NA
HGNC:19338	CDK19	ENSG00000155111	23097	AD	DEE	614720	AusPanelApp
HGNC:11411	CDKL5	ENSG00000008086	6792	XL	DEE	300203	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:2550	CELF2	ENSG00000048740	10659	AD	DEE	602538	AusPanelApp
HGNC:21638	CEP85L	ENSG00000111860	387119	AD	"DEE, MCD"	NA	AusPanelApp
HGNC:14253	CERS1	ENSG00000223802	10715	AR	PME	606919	"AusPanelApp, BluePrint"
HGNC:1917	CHD2	ENSG00000173575	1106	AD	"GGE, DEE, PME"	602119	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:1919	CHD4	ENSG00000111642	1108	AD	"GGE, DEE"	603277	AusPanelApp
HGNC:16816	CHD5	ENSG00000116254	26038	AD	"DEE, MCD"	610771	AusPanelApp
HGNC:1956	CHRNA2	ENSG00000120903	1135	AD	Focal	118502	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:1958	CHRNA4	ENSG00000101204	1137	AD	Focal	118504	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:1962	CHRNB2	ENSG00000160716	1141	AD	Focal	118507	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:2022	CLCN4	ENSG00000073464	1183	XL	DEE	302910	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:2074	CLN3	ENSG00000261832	1201	AR	PME	607042	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:2076	CLN5	ENSG00000102805	1203	AR	PME	608102	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:2077	CLN6	ENSG00000128973	54982	AR	PME	606725	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:2079	CLN8	ENSG00000182372	2055	AR	PME	607837	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:19701	CNKSR2	ENSG00000149970	22866	XL	"Focal, DEE"	300724	"AusPanelApp, BluePrint"
HGNC:103	CNNM2	ENSG00000148842	54805	AD/AR	DEE	607803	AusPanelApp
HGNC:11968	CNPY3	ENSG00000137161	10695	AR	DEE	610774	"AusPanelApp, BluePrint"
HGNC:13830	CNTNAP2	ENSG00000174469	26047	AR	DEE	604569	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:2202	COL4A1	ENSG00000187498	1282	AD	MCD	120130	"AusPanelApp, Fulgent, BluePrint"
HGNC:2203	COL4A2	ENSG00000134871	1284	AD	MCD	120090	"AusPanelApp, BluePrint"
HGNC:2309	CPLX1	ENSG00000168993	10815	AR	DEE	605032	"AusPanelApp, BluePrint"
HGNC:2340	CRADD	ENSG00000169372	8738	AR	"DEE, MCD"	603454	NA
HGNC:2453	CSNK1E	ENSG00000213923	1454	AD	DEE	600863	NA
HGNC:2482	CSTB	ENSG00000160213	1476	AR	PME	601145	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:2529	CTSD	ENSG00000117984	1509	AR	PME	116840	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:2531	CTSF	ENSG00000174080	8722	AR	PME	603539	"ClinGen, Fulgent, GeneDx, BluePrint"
HGNC:2553	CUL3	ENSG00000036257	8452	AD	DEE	603136	NA
HGNC:19347	CUX2	ENSG00000111249	23316	AD	"GGE, DEE"	610648	"AusPanelApp, BluePrint"
HGNC:13760	CYFIP2	ENSG00000055163	26999	AD	DEE	606323	"AusPanelApp, Fulgent, Invitae, BluePrint"
HGNC:2714	DCX	ENSG00000077279	1641	XL	"DEE, MCD"	300121	"AusPanelApp, Fulgent, GeneDx, BluePrint"
HGNC:18423	DEPDC5	ENSG00000100150	9681	AD	"Focal, DEE, MCD"	614191	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:20603	DHDDS	ENSG00000117682	79947	AD	"DEE, PME"	608172	"AusPanelApp, Invitae, BluePrint"
HGNC:2938	DMXL2	ENSG00000104093	23312	AR	DEE	612186	"AusPanelApp, Invitae, BluePrint"
HGNC:16235	DNAJC5	ENSG00000101152	80331	AD	PME	611203	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:2972	DNM1	ENSG00000106976	1759	AD	DEE	602377	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:2973	DNM1L	ENSG00000087470	10059	AD	DEE	603850	"AusPanelApp, Invitae, BluePrint"
HGNC:19190	DOCK7	ENSG00000116641	85440	AR	DEE	615730	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:2961	DYNC1H1	ENSG00000197102	1778	AD	"DEE, MCD"	600112	"AusPanelApp, Fulgent, Invitae, BluePrint"
HGNC:3091	DYRK1A	ENSG00000157540	1859	AD	DEE	600855	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:3192	EEF1A2	ENSG00000101210	1917	AD	DEE	602959	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:3330	EML1	ENSG00000066629	2009	AR	MCD	602033	"AusPanelApp, BluePrint"
HGNC:3413	EPM2A	ENSG00000112425	7957	AR	PME	607566	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:29046	FBXO28	ENSG00000143756	23219	AD	"DEE, PME"	609100	AusPanelApp
HGNC:3668	FGF12	ENSG00000114279	2257	AD	DEE	601513	"AusPanelApp, GeneDx, Invitae, BluePrint"
HGNC:3670	FGF13	ENSG00000129682	2258	XL	DEE	300070	AusPanelApp
HGNC:3700	FH	ENSG00000091483	2271	AR	MCD	136850	"AusPanelApp, Fulgent, BluePrint"
HGNC:3754	FLNA	ENSG00000196924	2316	XL	MCD	300017	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:3791	FOLR1	ENSG00000110195	2348	AR	DEE	136430	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:3811	FOXG1	ENSG00000176165	2290	AD	DEE	164874	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:1362	FRRS1L	ENSG00000260230	23732	AR	DEE	604574	"AusPanelApp, GeneDx, Invitae, BluePrint"
HGNC:24824	FZR1	ENSG00000105325	51343	AD	DEE	603619	AusPanelApp
HGNC:4507	GABBR2	ENSG00000136928	9568	AD	DEE	607340	"AusPanelApp, GeneDx, Invitae, BluePrint"
HGNC:4075	GABRA1	ENSG00000022355	2554	AD	"GGE, DEE"	137160	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:4076	GABRA2	ENSG00000151834	2555	AD	DEE	137140	"AusPanelApp, Invitae"
HGNC:4077	GABRA3	ENSG00000011677	2556	XL	DEE	305660	NA
HGNC:4078	GABRA4	ENSG00000109158	2557	AD	DEE	137141	NA
HGNC:4079	GABRA5	ENSG00000186297	2558	AD	"GGE, DEE"	137142	AusPanelApp
HGNC:4081	GABRB1	ENSG00000163288	2560	AD	DEE	137190	"AusPanelApp, Invitae, BluePrint"
HGNC:4082	GABRB2	ENSG00000145864	2561	AD	"GGE, DEE"	600232	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:4083	GABRB3	ENSG00000166206	2562	AD	DEE	137192	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:4084	GABRD	ENSG00000187730	2563	AD	"GGE, DEE"	137163	"AusPanelApp, Fulgent"
HGNC:4087	GABRG2	ENSG00000113327	2566	AD	"GGE, DEE"	137164	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:4092	GAD1	ENSG00000128683	2571	AR	DEE	605363	AusPanelApp
HGNC:4177	GBA	ENSG00000177628	2629	AR	"DEE, PME"	606463	AusPanelApp
HGNC:4319	GLI3	ENSG00000106571	2737	AD	"DEE, MCD"	165240	Fulgent
HGNC:4384	GNAI1	ENSG00000127955	2770	AD	DEE	139310	AusPanelApp
HGNC:4389	GNAO1	ENSG00000087258	2775	AD	DEE	139311	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:4396	GNB1	ENSG00000078369	2782	AD	DEE	139380	"AusPanelApp, Invitae, BluePrint"
HGNC:4431	GOSR2	ENSG00000108433	9570	AR	PME	604027	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:29501	GPSM2	ENSG00000121957	29899	AR	MCD	609245	NA
HGNC:4572	GRIA2	ENSG00000120251	2891	AD	DEE	138247	AusPanelApp
HGNC:4573	GRIA3	ENSG00000125675	2892	XL	DEE	305915	"AusPanelApp, Fulgent, Invitae, BluePrint"
HGNC:4574	GRIA4	ENSG00000152578	2893	AD	DEE	138246	"AusPanelApp, BluePrint"
HGNC:4584	GRIN1	ENSG00000176884	2902	AD	"DEE, MCD"	138249	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:4585	GRIN2A	ENSG00000183454	2903	AD	"Focal, DEE, MCD"	138253	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:4586	GRIN2B	ENSG00000273079	2904	AD	"DEE, MCD"	138252	"AusPanelApp, ClinGen, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:4588	GRIN2D	ENSG00000105464	2906	AD	DEE	602717	"AusPanelApp, ClinGen, Invitae, BluePrint"
HGNC:4601	GRN	ENSG00000030582	2896	AR	PME	138945	"AusPanelApp, Fulgent, BluePrint"
HGNC:4845	HCN1	ENSG00000164588	348980	AD	"GGE, DEE"	602780	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:4846	HCN2	ENSG00000099822	610	AD	GGE	602781	"AusPanelApp, BluePrint"
HGNC:29853	HECW2	ENSG00000138411	57520	AD	DEE	617245	"AusPanelApp, Fulgent, BluePrint"
HGNC:5048	HNRNPU	ENSG00000153187	3192	AD	DEE	602869	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:29059	IQSEC2	ENSG00000124313	23096	XL	DEE	300522	"AusPanelApp, Fulgent, GeneDx, Invitae, BluePrint"
HGNC:14282	IRF2BPL	ENSG00000119669	64207	AD	DEE	611720	"AusPanelApp, Fulgent, BluePrint"
HGNC:6176	ITPA	ENSG00000125877	3704	AR	DEE	147520	"AusPanelApp, Invitae, BluePrint"
